0,0,grass,30,30
0,30,grass,30,30
0,60,water,30,30
0,90,water,30,30
0,120,water,30,30
0,150,water,30,30
0,180,water,30,30
0,210,water,30,30
0,240,water,30,30
0,270,water,30,30
0,300,water,30,30
0,330,water,30,30
0,360,water,30,30
0,390,water,30,30
0,420,water,30,30
0,450,water,30,30
0,480,water,30,30
0,510,water,30,30
0,540,water,30,30
0,570,water,30,30
0,600,grass,30,30
0,630,grass,30,30
30,0,grass,30,30
30,30,grass,30,30
30,60,bridge,30,30
30,90,bridge,30,30
30,120,bridge,30,30
30,150,grass,30,30
30,180,grass,30,30
30,210,grass,30,30
30,240,tree,30,30
30,270,grass,30,30
30,300,grass,30,30
30,330,tree,30,30
30,360,grass,30,30
30,390,grass,30,30
30,420,grass,30,30
30,450,grass,30,30
30,480,water,30,30
30,510,water,30,30
30,540,water,30,30
30,570,bridge,30,30
30,600,grass,30,30
30,630,grass,30,30
60,0,water,30,30
60,30,bridge,30,30
60,60,bridge,30,30
60,90,bridge,30,30
60,120,bridge,30,30
60,150,path,30,30
60,180,path,30,30
60,210,path,30,30
60,240,path,30,30
60,270,path,30,30
60,300,path,30,30
60,330,path,30,30
60,360,path,30,30
60,390,path,30,30
60,420,path,30,30
60,450,grass,30,30
60,480,tree,30,30
60,510,water,30,30
60,540,water,30,30
60,570,bridge,30,30
60,600,bridge,30,30
60,630,water,30,30
90,0,water,30,30
90,30,water,30,30
90,60,water,30,30
90,90,water,30,30
90,120,water,30,30
90,150,grass,30,30
90,180,grass,30,30
90,210,grass,30,30
90,240,grass,30,30
90,270,grass,30,30
90,300,grass,30,30
90,330,grass,30,30
90,360,grass,30,30
90,390,grass,30,30
90,420,path,30,30
90,450,grass,30,30
90,480,grass,30,30
90,510,water,30,30
90,540,water,30,30
90,570,bridge,30,30
90,600,bridge,30,30
90,630,water,30,30
120,0,water,30,30
120,30,water,30,30
120,60,water,30,30
120,90,water,30,30
120,120,grass,30,30
120,150,grass,30,30
120,180,grass,30,30
120,210,grass,30,30
120,240,tree,30,30
120,270,grass,30,30
120,300,building,30,30
120,330,building,30,30
120,360,grass,30,30
120,390,tree,30,30
120,420,path,30,30
120,450,path,30,30
120,480,grass,30,30
120,510,grass,30,30
120,540,water,30,30
120,570,bridge,30,30
120,600,bridge,30,30
120,630,water,30,30
150,0,water,30,30
150,30,water,30,30
150,60,water,30,30
150,90,grass,30,30
150,120,grass,30,30
150,150,grass,30,30
150,180,tree,30,30
150,210,grass,30,30
150,240,grass,30,30
150,270,path,30,30
150,300,path,30,30
150,330,path,30,30
150,360,grass,30,30
150,390,grass,30,30
150,420,path,30,30
150,450,path,30,30
150,480,path,30,30
150,510,grass,30,30
150,540,grass,30,30
150,570,path,30,30
150,600,grass,30,30
150,630,water,30,30
180,0,water,30,30
180,30,water,30,30
180,60,grass,30,30
180,90,grass,30,30
180,120,tree,30,30
180,150,grass,30,30
180,180,grass,30,30
180,210,grass,30,30
180,240,path,30,30
180,270,path,30,30
180,300,path,30,30
180,330,path,30,30
180,360,path,30,30
180,390,path,30,30
180,420,path,30,30
180,450,path,30,30
180,480,path,30,30
180,510,path,30,30
180,540,path,30,30
180,570,path,30,30
180,600,grass,30,30
180,630,tree,30,30
210,0,water,30,30
210,30,grass,30,30
210,60,tree,30,30
210,90,grass,30,30
210,120,grass,30,30
210,150,grass,30,30
210,180,path,30,30
210,210,path,30,30
210,240,path,30,30
210,270,path,30,30
210,300,path,30,30
210,330,path,30,30
210,360,path,30,30
210,390,path,30,30
210,420,path,30,30
210,450,path,30,30
210,480,path,30,30
210,510,path,30,30
